,year,tournament,match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak
171,2018,dallas,06d45626-3afe-5189-97a6-e2834721bd6c,pool-C-7,2017-12-08 22:02:43 UTC,471.0,Search & Destroy,London Docks,Mindfreak,Shockz,,3,5,8,-3,0.62,6.4,10.2,1,0,0,0,0,4,24,92,26.1,9,261.2,29.0,9,0,2,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
172,2018,dallas,06d45626-3afe-5189-97a6-e2834721bd6c,pool-C-7,2017-12-08 22:02:43 UTC,471.0,Search & Destroy,London Docks,Rise Nation,Aqua,,6,7,5,2,1.4,8.9,6.4,2,0,1,0,-1,6,18,56,32.1,9,314.5,34.9,9,1,2,4,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0
173,2018,dallas,06d45626-3afe-5189-97a6-e2834721bd6c,pool-C-7,2017-12-08 22:02:43 UTC,471.0,Search & Destroy,London Docks,Rise Nation,Felony,,6,4,5,-1,0.8,5.1,6.4,2,1,0,0,0,4,15,91,16.5,9,273.8,30.4,9,1,2,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
174,2018,dallas,06d45626-3afe-5189-97a6-e2834721bd6c,pool-C-7,2017-12-08 22:02:43 UTC,471.0,Search & Destroy,London Docks,Rise Nation,Loony,,6,14,4,10,3.5,17.8,5.1,2,1,0,0,0,12,38,137,27.7,9,446.6,49.6,9,2,0,5,3,2,0,0,5,3,1,0,1,0,0,0,0,0,0,0
175,2018,dallas,06d45626-3afe-5189-97a6-e2834721bd6c,pool-C-7,2017-12-08 22:02:43 UTC,471.0,Search & Destroy,London Docks,Rise Nation,TJHaly,,6,5,5,0,1.0,6.4,6.4,4,0,0,0,0,5,25,113,22.1,9,345.3,38.4,9,1,0,4,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
200,2018,dallas,c101fae6-ad51-5647-82da-951e572c2dcc,pool-C-0,2017-12-09 15:59:09 UTC,684.0,Search & Destroy,Ardennes Forest,Red Reserve,Joee,,5,5,7,-2,0.71,4.4,6.1,1,1,0,0,0,4,14,72,19.4,11,527.3,47.9,11,0,2,4,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0
201,2018,dallas,c101fae6-ad51-5647-82da-951e572c2dcc,pool-C-0,2017-12-09 15:59:09 UTC,684.0,Search & Destroy,Ardennes Forest,Red Reserve,Joshh,,5,4,10,-6,0.4,3.5,8.8,2,0,0,0,0,4,19,89,21.3,11,338.6,30.8,11,0,4,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
202,2018,dallas,c101fae6-ad51-5647-82da-951e572c2dcc,pool-C-0,2017-12-09 15:59:09 UTC,684.0,Search & Destroy,Ardennes Forest,Red Reserve,Rated,,5,8,8,0,1.0,7.0,7.0,4,1,0,0,0,5,39,200,19.5,11,584.7,53.2,11,1,1,3,6,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0
203,2018,dallas,c101fae6-ad51-5647-82da-951e572c2dcc,pool-C-0,2017-12-09 15:59:09 UTC,684.0,Search & Destroy,Ardennes Forest,Red Reserve,Zer0,,5,11,8,3,1.38,9.6,7.0,0,1,0,0,0,9,26,137,19.0,11,563.8,51.2,11,1,2,3,0,0,1,0,2,3,1,0,2,0,0,0,0,0,0,0
204,2018,dallas,c101fae6-ad51-5647-82da-951e572c2dcc,pool-C-0,2017-12-09 15:59:09 UTC,684.0,Search & Destroy,Ardennes Forest,Team Kaliber,Accuracy,,6,6,8,-2,0.75,5.3,7.0,0,1,0,0,0,4,14,52,26.9,11,418.0,38.0,11,3,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
