,year,tournament,match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),hill time (s),hill captures,hill defends,2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak
379,2018,dallas,aa70573e-c151-5c4c-a6eb-45c559eb880d,pool-A-5,2017-12-09 18:12:09 UTC,718.0,Hardpoint,Ardennes Forest,Enigma6,General,,205,27,32,-5,0.84,22.6,26.7,11,0,0,0,0,13,92,396,23.2,33,652.1,19.8,38,0,0,4,0,0,0,0,0,0,0
380,2018,dallas,aa70573e-c151-5c4c-a6eb-45c559eb880d,pool-A-5,2017-12-09 18:12:09 UTC,718.0,Hardpoint,Ardennes Forest,Team EnVyUs,Classic,,250,18,34,-16,0.53,15.0,28.4,18,1,0,0,0,9,71,335,21.2,35,648.5,18.5,82,0,0,2,0,0,0,0,0,0,0
381,2018,dallas,aa70573e-c151-5c4c-a6eb-45c559eb880d,pool-A-5,2017-12-09 18:12:09 UTC,718.0,Hardpoint,Ardennes Forest,Team EnVyUs,Huke,,250,27,30,-3,0.9,22.6,25.1,15,1,0,0,0,22,112,421,26.6,31,657.0,21.2,31,0,2,5,0,0,0,0,0,0,0
382,2018,dallas,aa70573e-c151-5c4c-a6eb-45c559eb880d,pool-A-5,2017-12-09 18:12:09 UTC,718.0,Hardpoint,Ardennes Forest,Team EnVyUs,Slasher,,250,41,23,18,1.78,34.3,19.2,12,5,0,1,1,30,122,406,30.0,25,671.4,26.9,59,0,1,10,0,0,3,1,0,0,0
383,2018,dallas,aa70573e-c151-5c4c-a6eb-45c559eb880d,pool-A-5,2017-12-09 18:12:09 UTC,718.0,Hardpoint,Ardennes Forest,Team EnVyUs,Temp,,250,33,27,6,1.22,27.6,22.6,8,2,0,0,0,22,131,577,22.7,28,663.1,23.7,83,0,0,3,1,0,1,0,0,0,1
384,2018,dallas,0271b119-06ee-50ed-be17-054dc0acbcd4,pool-A-1,2017-12-09 18:12:47 UTC,513.0,Hardpoint,Sainte Marie du Mont,OpTic Gaming,Crimsix,,250,25,13,12,1.92,29.2,15.2,6,1,0,0,0,21,77,286,26.9,14,483.9,34.6,93,0,0,6,0,0,0,0,1,1,0
385,2018,dallas,0271b119-06ee-50ed-be17-054dc0acbcd4,pool-A-1,2017-12-09 18:12:47 UTC,513.0,Hardpoint,Sainte Marie du Mont,OpTic Gaming,Formal,,250,27,14,13,1.93,31.6,16.4,6,3,0,0,0,25,73,252,29.0,15,484.6,32.3,47,0,1,4,2,0,0,1,1,1,0
386,2018,dallas,0271b119-06ee-50ed-be17-054dc0acbcd4,pool-A-1,2017-12-09 18:12:47 UTC,513.0,Hardpoint,Sainte Marie du Mont,OpTic Gaming,Karma,,250,21,16,5,1.31,24.6,18.7,6,2,0,0,0,13,96,339,28.3,17,480.6,28.3,56,0,0,1,1,0,0,0,0,0,0
387,2018,dallas,0271b119-06ee-50ed-be17-054dc0acbcd4,pool-A-1,2017-12-09 18:12:47 UTC,513.0,Hardpoint,Sainte Marie du Mont,OpTic Gaming,Scump,,250,18,20,-2,0.9,21.1,23.4,13,0,0,0,0,14,77,340,22.6,21,469.0,22.3,75,0,1,1,1,0,0,1,0,0,0
388,2018,dallas,0271b119-06ee-50ed-be17-054dc0acbcd4,pool-A-1,2017-12-09 18:12:47 UTC,513.0,Hardpoint,Sainte Marie du Mont,Unilad,Moose,,131,14,20,-6,0.7,16.4,23.4,3,0,0,0,0,10,55,227,24.2,21,472.3,22.5,68,0,0,2,1,0,0,0,0,0,0
389,2018,dallas,0271b119-06ee-50ed-be17-054dc0acbcd4,pool-A-1,2017-12-09 18:12:47 UTC,513.0,Hardpoint,Sainte Marie du Mont,Unilad,Seany,,131,16,23,-7,0.7,18.7,26.9,10,0,0,0,1,12,89,347,25.6,24,464.1,19.3,25,0,1,1,0,0,0,0,0,0,0
390,2018,dallas,0271b119-06ee-50ed-be17-054dc0acbcd4,pool-A-1,2017-12-09 18:12:47 UTC,513.0,Hardpoint,Sainte Marie du Mont,Unilad,Skrapz,,131,15,23,-8,0.65,17.5,26.9,7,0,0,1,0,11,46,200,23.0,23,467.5,20.3,43,0,1,0,1,0,0,0,0,0,0
391,2018,dallas,0271b119-06ee-50ed-be17-054dc0acbcd4,pool-A-1,2017-12-09 18:12:47 UTC,513.0,Hardpoint,Sainte Marie du Mont,Unilad,Wuskin,,131,18,25,-7,0.72,21.1,29.2,10,1,0,0,0,11,77,300,25.7,26,460.9,17.7,29,0,1,2,1,0,1,0,0,0,0
424,2018,dallas,e2720225-f667-52fa-9cec-80d84d757bc3,pool-C-1,2017-12-09 18:38:50 UTC,659.0,Hardpoint,Sainte Marie du Mont,Rise Nation,Aqua,,203,36,24,12,1.5,32.8,21.9,8,4,0,1,0,26,119,388,30.7,25,607.8,24.3,49,0,2,5,1,0,1,1,0,0,0
425,2018,dallas,e2720225-f667-52fa-9cec-80d84d757bc3,pool-C-1,2017-12-09 18:38:50 UTC,659.0,Hardpoint,Sainte Marie du Mont,Rise Nation,Felony,,203,25,29,-4,0.86,22.8,26.4,7,2,0,0,3,12,103,470,21.9,33,593.8,18.0,34,0,1,3,0,0,0,0,0,0,0
426,2018,dallas,e2720225-f667-52fa-9cec-80d84d757bc3,pool-C-1,2017-12-09 18:38:50 UTC,659.0,Hardpoint,Sainte Marie du Mont,Rise Nation,Loony,,203,30,24,6,1.25,27.3,21.9,8,0,0,2,0,24,118,523,22.6,25,609.5,24.4,71,0,2,4,2,0,0,1,0,0,0
427,2018,dallas,e2720225-f667-52fa-9cec-80d84d757bc3,pool-C-1,2017-12-09 18:38:50 UTC,659.0,Hardpoint,Sainte Marie du Mont,Rise Nation,TJHaly,,203,18,27,-9,0.67,16.4,24.6,11,1,0,0,0,8,53,276,19.2,28,604.0,21.6,86,0,1,1,0,0,0,0,0,0,0
428,2018,dallas,e2720225-f667-52fa-9cec-80d84d757bc3,pool-C-1,2017-12-09 18:38:50 UTC,659.0,Hardpoint,Sainte Marie du Mont,Team Kaliber,Accuracy,,250,23,28,-5,0.82,20.9,25.5,18,0,0,1,1,14,76,292,26.0,30,599.9,20.0,81,0,1,3,0,0,0,0,0,0,0
429,2018,dallas,e2720225-f667-52fa-9cec-80d84d757bc3,pool-C-1,2017-12-09 18:38:50 UTC,659.0,Hardpoint,Sainte Marie du Mont,Team Kaliber,Chino,,250,24,26,-2,0.92,21.9,23.7,12,0,0,1,1,17,64,320,20.0,28,603.0,21.5,96,0,1,5,0,0,0,0,0,0,0
430,2018,dallas,e2720225-f667-52fa-9cec-80d84d757bc3,pool-C-1,2017-12-09 18:38:50 UTC,659.0,Hardpoint,Sainte Marie du Mont,Team Kaliber,Kenny,,250,28,29,-1,0.97,25.5,26.4,11,0,0,0,0,21,127,639,19.9,30,599.9,20.0,41,0,0,5,1,0,1,1,0,0,0
431,2018,dallas,e2720225-f667-52fa-9cec-80d84d757bc3,pool-C-1,2017-12-09 18:38:50 UTC,659.0,Hardpoint,Sainte Marie du Mont,Team Kaliber,Theory,,250,29,26,3,1.12,26.4,23.7,7,0,0,0,0,24,98,372,26.3,27,607.9,22.5,73,0,2,4,1,0,1,0,0,0,1
432,2018,dallas,73495ec7-a1cb-56ef-9e0e-9626d2655410,pool-C-5,2017-12-09 18:42:32 UTC,646.0,Hardpoint,Ardennes Forest,Mindfreak,Buzzo,,179,22,27,-5,0.81,20.4,25.1,8,3,0,0,0,14,84,319,26.3,27,589.2,21.8,5,0,0,0,0,0,0,0,0,0,0
433,2018,dallas,73495ec7-a1cb-56ef-9e0e-9626d2655410,pool-C-5,2017-12-09 18:42:32 UTC,646.0,Hardpoint,Ardennes Forest,Mindfreak,Denz,,179,34,23,11,1.48,31.6,21.4,3,3,0,0,0,24,108,357,30.3,23,600.5,26.1,85,0,3,8,0,0,0,0,1,1,0
434,2018,dallas,73495ec7-a1cb-56ef-9e0e-9626d2655410,pool-C-5,2017-12-09 18:42:32 UTC,646.0,Hardpoint,Ardennes Forest,Mindfreak,Fighta,,179,29,35,-6,0.83,26.9,32.5,9,4,0,0,0,19,129,426,30.3,36,575.2,16.0,62,0,2,4,1,0,0,0,0,0,0
435,2018,dallas,73495ec7-a1cb-56ef-9e0e-9626d2655410,pool-C-5,2017-12-09 18:42:32 UTC,646.0,Hardpoint,Ardennes Forest,Mindfreak,Shockz,,179,24,31,-7,0.77,22.3,28.8,11,3,0,0,0,18,82,330,24.8,32,581.6,18.2,63,0,0,1,0,0,0,0,0,0,0
436,2018,dallas,73495ec7-a1cb-56ef-9e0e-9626d2655410,pool-C-5,2017-12-09 18:42:32 UTC,646.0,Hardpoint,Ardennes Forest,Red Reserve,Joee,,250,24,27,-3,0.89,22.3,25.1,8,0,0,0,1,18,88,379,23.2,29,589.4,20.3,68,0,1,4,0,0,0,0,0,0,0
437,2018,dallas,73495ec7-a1cb-56ef-9e0e-9626d2655410,pool-C-5,2017-12-09 18:42:32 UTC,646.0,Hardpoint,Ardennes Forest,Red Reserve,Joshh,,250,26,37,-11,0.7,24.1,34.4,14,1,0,0,0,15,105,468,22.4,38,571.0,15.0,59,0,2,5,1,0,1,0,0,0,0
438,2018,dallas,73495ec7-a1cb-56ef-9e0e-9626d2655410,pool-C-5,2017-12-09 18:42:32 UTC,646.0,Hardpoint,Ardennes Forest,Red Reserve,Rated,,250,31,21,10,1.48,28.8,19.5,14,3,0,1,0,23,108,392,27.6,22,603.0,27.4,92,0,0,6,1,0,3,0,0,0,0
439,2018,dallas,73495ec7-a1cb-56ef-9e0e-9626d2655410,pool-C-5,2017-12-09 18:42:32 UTC,646.0,Hardpoint,Ardennes Forest,Red Reserve,Zer0,,250,35,24,11,1.46,32.5,22.3,12,0,0,0,0,25,97,391,24.8,25,597.5,23.9,58,0,1,5,1,0,0,1,1,0,0
456,2018,dallas,cc2e11ce-54c8-580f-b023-5dc7d808b066,pool-A-1,2017-12-09 19:02:34 UTC,487.0,Hardpoint,London Docks,OpTic Gaming,Crimsix,,250,23,14,9,1.64,28.3,17.2,7,2,0,0,0,21,62,277,22.4,15,458.0,30.5,89,0,1,3,1,0,1,0,0,1,0
457,2018,dallas,cc2e11ce-54c8-580f-b023-5dc7d808b066,pool-A-1,2017-12-09 19:02:34 UTC,487.0,Hardpoint,London Docks,OpTic Gaming,Formal,,250,19,12,7,1.58,23.4,14.8,12,0,1,0,-1,14,57,171,33.3,14,443.4,31.7,56,0,0,1,0,0,0,0,0,0,0
